,location_name,date,location_id,allbed_mean,ICUbed_mean,InvVen_mean,admis_mean,newICU_mean,bedover_mean,icuover_mean,deaths_mean,totdea_mean,mobility_composite,total_tests,confirmed_infections,est_infections_mean
30014,Germany,2020-05-08,81,1090.34746705961,545.308199203046,517.3807207570591,138.635792835832,75.81262528600571,0.0,0.0,147.0,7264.0,-34.2251059348165,56813.568945925304,1208.0,3200.92639016177
30015,Germany,2020-05-09,81,1036.35245912635,518.738237070339,492.179508656969,132.758727202643,72.70581105455,0.0,0.0,103.0,7367.0,-32.448790207494,57444.9296211241,1248.99999999997,3044.6877242455394
30016,Germany,2020-05-10,81,985.6258483471549,493.180339116121,467.977684515085,126.94680887955799,69.6144329427753,0.0,0.0,26.0,7393.0,-31.328662975566804,57954.874018381604,665.000000000029,2897.4014802320803
30017,Germany,2020-05-11,81,932.814646921491,466.641189341382,442.75893633070604,117.764481861972,64.5008149144586,0.0,0.0,22.0,7415.0,-29.619866946149603,58333.6002056967,358.0,2758.3356043464696
30018,Germany,2020-05-12,81,884.278651545281,442.25713062256796,419.579581779693,114.060513146803,62.397069912908705,0.0,0.0,116.0,7531.0,-29.046581477687003,58557.4773663181,750.999999999971,2626.80823274745
30019,Germany,2020-05-13,81,835.1995286911659,417.97436678017095,396.381541073001,105.22564065898001,57.3761739891043,0.0,0.0,101.0,7632.0,-28.3353292707596,58593.2613039409,796.000000000029,2502.2007769821203
30020,Germany,2020-05-14,81,789.646777414162,395.667321552287,375.173556865469,99.0734737122527,54.267525491025104,0.0,0.0,89.0,7721.0,-28.532682979440303,58412.7968449496,931.0,2383.9654581318
30021,Germany,2020-05-15,81,746.416198135782,373.413658031752,353.98691983401,93.9443633321915,51.26561224859589,0.0,0.0,101.0,7822.0,-28.328610342741104,58010.9258037167,911.0,2271.629127351
30022,Germany,2020-05-16,81,704.6603153665781,352.221697876165,333.823388509384,89.38390315225278,49.123218904526,0.0,0.0,57.0,7879.0,-29.5918627434589,57417.1405712787,620.0,2164.79529098988
30023,Germany,2020-05-17,81,667.597404592093,334.082439413163,316.668469082839,86.1676619474695,47.09325888752629,0.0,0.0,33.0,7912.0,-29.790251809987897,56695.316426381396,581.999999999971,2063.1387745442803
30024,Germany,2020-05-18,81,634.72248556526,317.044659588326,300.506260511393,84.19760806302399,46.02268983643211,0.0,0.0,21.0,7933.0,-30.4110093392019,55932.586539774406,341.000000000058,1966.39153498624
30025,Germany,2020-05-19,81,602.628158333544,302.02786594086604,286.360087133996,78.219849435622,42.952002077665206,0.0,0.0,74.0,8007.0,-31.07629533037,55222.321873638895,512.999999999971,1874.3326341674697
30026,Germany,2020-05-20,81,572.321581910066,287.062816638964,272.237246505984,73.1130243910888,39.9295810933906,0.0,0.0,83.0,8090.0,-31.8109320950138,54646.4074023037,796.000000000029,1786.7800180879199
30027,Germany,2020-05-21,81,546.015058127133,274.183092683671,260.126547612235,70.9082083923215,38.9339013307126,0.0,0.0,57.0,8147.0,-32.4414016384925,54260.1658591157,743.999999999971,1703.58233926082
30028,Germany,2020-05-22,81,518.597135960127,260.322536490152,247.01197220610902,65.5632209900222,35.8442548610316,0.0,0.0,27.0,8174.0,-32.7618424958646,54082.441980127405,460.000000000029,1624.6110565678198
